marvel_id,year,month,date,number-date,publisher,genre,price,title,number,box,norm grade,grade,CGC,community url,community low,community high,qualified,For Sale,Sold Price,Sold Date,artist,nice panels,notes
#N/A,1977,Apr,04/01/1977,5-04/01/1977,Marvel,Fantasy,NFS,2001: A Space Odyssey,5,4,4,4,,,,,,,,,Jack KIrby,,
#N/A,1972,Oct,10/01/1972,10-10/01/1972,Marvel,Fantasy,NFS,Adventure into Fear with the Man-Thing,10,4,3,3,,,,,,,,,,,
6879,1963,Nov,11/01/1963,6-11/01/1963,Marvel,Super-hero,NFS,Amazing Spider-Man,6,1,0,0.1,,,,,,,,,Steve Ditko,,
6912,1964,Feb,02/01/1964,9-02/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,9,1,2,2,,,,,,,,,Steve Ditko,,
6483,1964,Mar,03/01/1964,10-03/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,10,1,1,1,,,,,,,,,Steve Ditko,,
6494,1964,Apr,04/01/1964,11-04/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,11,1,2,2,,,,,,,,,Steve Ditko,,
6505,1964,May,05/01/1964,12-05/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,12,1,1,1,,,,,,,,,Steve Ditko,,
6516,1964,June,06/01/1964,13-06/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,13,1,2,2,,,,,,,,,Steve Ditko,,
6527,1964,July,07/01/1964,14-07/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,14,1,1,1,,,,,,,,,Steve Ditko,,
6538,1964,Aug,08/01/1964,15-08/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,15,1,4,4,,,,,,,,,Steve Ditko,,
6549,1964,Sep,09/01/1964,16-09/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,16,1,5.5,5,,https://boards.cgccomics.com/topic/541274-pgm-amazing-spider-man-16/,5,6,,,,,Steve Ditko,20 WHAM!,
6560,1964,Oct,10/01/1964,17-10/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,17,1,5.5,7.5,,https://boards.cgccomics.com/topic/541275-pgm-amazing-spider-man-17/,5,5.5,,,,,Steve Ditko,"8, seconds later",
6571,1964,Nov,11/01/1964,18-11/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,18,1,4.5,6,,https://boards.cgccomics.com/topic/541346-pgm-amazing-spider-man-18/,4,4.5,,,,,Steve Ditko,,
6582,1964,Dec,12/01/1964,19-12/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man,19,1,9,9,4659813001,https://boards.cgccomics.com/topic/539316-pgm-asm-19/,6.5,8.5,,,,,Steve Ditko,,
6594,1965,Jan,01/01/1965,20-01/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,20,1,8.5,8.5,4633500003,https://boards.cgccomics.com/topic/539318-pgm-asm-20/,6.5,7,qualified,,,,Steve Ditko,,
6605,1965,Feb,02/01/1965,21-02/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,21,1,5.5,7.5,,https://boards.cgccomics.com/topic/541473-pgm-amazing-spider-man-21/,2.5,8,qualified,,,,Steve Ditko,,
6616,1965,Mar,03/01/1965,22-03/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,22,A,7,7.5,,https://boards.cgccomics.com/topic/541474-pgm-amazing-spider-man-22/,,,,,,,Steve Ditko,,
6627,1965,Apr,04/01/1965,23-04/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,23,1,6,7.5,,https://boards.cgccomics.com/topic/541475-pgm-amazing-spider-man-23/,5.5,6,qualified,,,,Steve Ditko,,
6638,1965,May,05/01/1965,24-05/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,24,1,6.5,7,,https://boards.cgccomics.com/topic/541545-pgm-amazine-spider-man-24/,6.5,6.5,,,,,Steve Ditko,,
6649,1965,June,06/01/1965,25-06/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,25,A,7.5,7.5,4633500004,https://boards.cgccomics.com/topic/541546-pgm-amazine-spider-man-25/,7.5,8,,,$365.14,"Nov 23, 2025",Steve Ditko,,
6660,1965,July,07/01/1965,26-07/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,26,A,9.2,9.2,4659813002,https://boards.cgccomics.com/topic/541547-pgm-amazing-spider-man-26/,7.5,8,,,"$1,431.70","Dec 21, 2025",Steve Ditko,,
6671,1965,Aug,08/01/1965,27-08/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,27,A,8,8,4659391017,https://boards.cgccomics.com/topic/541589-pgm-amazing-spider-man-27/,6.5,7.5,,,,,Steve Ditko,,
6682,1965,Sep,09/01/1965,28-09/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,28,1,8,8,4582949005,https://boards.cgccomics.com/topic/541590-pgm-amazing-spider-man-28/,7,7.5,,,"$1,243.67","Jun 12, 2025",Steve Ditko,,
6693,1965,Oct,10/01/1965,29-10/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,29,A,7,7,yes,https://boards.cgccomics.com/topic/541591-pgm-amazing-spider-man-29/,6,7.5,,,$381.10,"Feb 15, 2026",Steve Ditko,,
6705,1965,Nov,11/01/1965,30-11/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,30,A,7.5,7.5,4659391018,https://boards.cgccomics.com/topic/541620-pgm-amazing-spider-man-30/,6.5,7,,,,,Steve Ditko,,
6716,1965,Dec,12/01/1965,31-12/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man,31,1,6.5,6.5,4633500005,https://boards.cgccomics.com/topic/541621-pgm-spider-man-31/,6,7,,,$472.67,"Dec 1, 2025",Steve Ditko,,
6727,1966,Jan,01/01/1966,32-01/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,32,1,6,7.5,,https://boards.cgccomics.com/topic/541622-pgm-amazing-spider-man-32/,5,6.5,,,,,Steve Ditko,,
6738,1966,Feb,02/01/1966,33-02/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,33,1,6,7.5,,https://boards.cgccomics.com/topic/541651-pgm-amazing-spider-man-33/,6,6,,,,,Steve Ditko,,
6749,1966,Mar,03/01/1966,34-03/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,34,1,5.5,7,,https://boards.cgccomics.com/topic/541652-pgm-amazing-spider-man-34/,5,5.5,,,,,Steve Ditko,,
6760,1966,Apr,04/01/1966,35-04/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,35,1,4.5,7.5,,https://boards.cgccomics.com/topic/539388-pgm-asm-35/,3,6,,,,,Steve Ditko,,
6771,1966,May,05/01/1966,36-05/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,36,1,4,7.5,,https://boards.cgccomics.com/topic/541654-pgm-amazing-spider-man-36/,4,4,,,,,Steve Ditko,,
6782,1966,June,06/01/1966,37-06/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,37,1,6,7.5,,https://boards.cgccomics.com/topic/541677-pgm-amazing-spider-man-37/,6,6,,,,,Steve Ditko,,
6793,1966,July,07/01/1966,38-07/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man,38,1,5.5,7.5,,https://boards.cgccomics.com/topic/539391-pgm-asm-38/,4.5,6,,,,,Steve Ditko,,
6860,1967,Jan,01/01/1967,44-01/01/1967,Marvel,Super-hero,NFS,Amazing Spider-Man,44,1,5.5,5,,https://boards.cgccomics.com/topic/541678-pgm-amazing-spider-man-44/,5,5.5,,,,,Johnny Romita,,
6864,1967,Mar,03/01/1967,46-03/01/1967,Marvel,Super-hero,NFS,Amazing Spider-Man,46,1,5,6,,https://boards.cgccomics.com/topic/541679-pgm-amazing-spider-man-46/,5,5,,,,,Johnny Romita,,
6865,1967,Apr,04/01/1967,47-04/01/1967,Marvel,Super-hero,NFS,Amazing Spider-Man,47,1,5,6,,,,,,,,,Johnny Romita,,
6866,1967,May,05/01/1967,48-05/01/1967,Marvel,Super-hero,NFS,Amazing Spider-Man,48,1,5,6,,,,,,,,,Johnny Romita,,
6867,1967,June,06/01/1967,49-06/01/1967,Marvel,Super-hero,NFS,Amazing Spider-Man,49,1,5,6,,,,,,,,,Johnny Romita,,
6882,1968,July,07/01/1968,62-07/01/1968,Marvel,Super-hero,NFS,Amazing Spider-Man,62,1,5,5,,,,,,,,,Johnny Romita,,
6883,1968,Aug,08/01/1968,63-08/01/1968,Marvel,Super-hero,NFS,Amazing Spider-Man,63,1,4,4,,,,,,,,,Johnny Romita,,
6568,1978,Feb,02/01/1978,177-02/01/1978,Marvel,Super-hero,NFS,Amazing Spider-Man,177,1,5,5,,,,,,,,,Ross Andru,,
6569,1978,Mar,03/01/1978,178-03/01/1978,Marvel,Super-hero,NFS,Amazing Spider-Man,178,1,6,7,,,,,,,,,,,
6572,1978,May,05/01/1978,180-05/01/1978,Marvel,Super-hero,NFS,Amazing Spider-Man,180,1,3,3,,,,,,,,,,,
16883,1964,Jan,01/01/1964,1-01/01/1964,Marvel,Super-hero,NFS,Amazing Spider-Man Annual,1,1,6,7,,,,,,,,,,,
16894,1965,Jan,01/01/1965,2-01/01/1965,Marvel,Super-hero,NFS,Amazing Spider-Man Annual,2,1,6,6.5,,,,,,,,,,,
16904,1966,Nov,11/01/1966,3-11/01/1966,Marvel,Super-hero,NFS,Amazing Spider-Man Annual,3,1,5,6,,,,,,,,,,,
