comic_id,area,photo
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/front.jpeg
13270,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13270/Fantastic Four 63/front.jpeg
12994,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12994/Fantasic Four 19/front.jpeg
13248,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13248/fantastic four 43/front.jpeg
16904,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16904/Amazing Spider-Man Annual 3/front.jpeg
18600,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18600/two-gun kid 79/front.jpeg
13278,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13278/Fantastic Four 70/front.jpeg
12950,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12950/Fantasic Four 15/front.jpeg
13247,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13247/fantastic four 42/front.jpeg
6627,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6627/Spider-Man 23/front.jpeg
13072,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13072/Fantasic Four 26/front.jpeg
12961,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12961/Fantasic Four 16/front.jpeg
13249,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13249/fantastic four 44/front.jpeg
6616,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6616/Spider-Man 22/front.jpeg
13285,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13285/Fantastic Four 77/front.jpeg
13017,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13017/Fantasic Four 21/front.jpeg
13028,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13028/Fantasic Four 22/front.jpeg
6483,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6483/Spider-Man 10/front.jpeg
18601,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18601/two-gun kid 80/front.jpeg
16905,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16905/Amazing Spider-Man Annual 4/front.jpeg
53508,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/53508/fantasy masterpieces 8/front.jpeg
16883,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16883/Amazing Spider-Man Annual 1/front.jpeg
6505,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6505/Spider-Man 12/front.jpeg
6569,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6569/Spider-Man 178/front.jpeg
6560,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6560/Spider-Man 17/front.jpeg
6594,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6594/Spider-Man 20/front.jpeg
18576,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18576/western/two-gun kid/55/front.jpeg
18582,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18582/Two-Gun Kid 61/front.jpeg
6738,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6738/spider-man 33/front.jpeg
13139,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13139/fantastic four 32/front.jpeg
6568,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6568/Spider-Man 177/front.jpeg
6912,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6912/Spider-Man 9/front.jpeg
6572,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6572/Spider-Man 180/front.jpeg
6749,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6749/Spider-Man 34/front.jpeg
6782,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6782/Spider-Man 37/front.jpeg
6771,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6771/Spider-Man 36/front.jpeg
18598,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18598/two-gun kid 77/front.jpeg
13183,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13183/fantastic four 36/front.jpeg
8687,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/8687/Fantastic Four Annual 1/front.jpeg
18596,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18596/two-gun kid 75/front.jpeg
18590,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18590/two-gun kid 69/front.jpeg
6527,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6527/spider-man 14/front.jpeg
18597,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18597/two-gun kid 76/front.jpeg
6516,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6516/Spider-Man 13/front.jpeg
18599,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18599/two-gun kid 78/front.jpeg
8707,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/8707/Fantastic Four Annual 3/front.jpeg
12928,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12928/Fantasic Four 13/front.jpeg
6693,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6693/Spider-Man 29/front.jpeg
8709,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/8709/Fantastic Four Annual 5/front.jpeg
6660,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6660/Spider-Man 26/front.jpeg
13061,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13061/Fantasic Four 25/front.jpeg
13253,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13253/Fantastic Four 48/front.jpeg
13254,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13254/fantastic four 49/front.jpeg
6866,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6866/Spider-Man 48/front.jpeg
6605,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6605/Spider-Man 21/front.jpeg
13262,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13262/Fantastic Four 56/front.jpeg
73989,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/73989/war/battlefield 9/front.jpeg
13050,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13050/Fantasic Four 24/front.jpeg
13265,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13265/Fantastic Four 59/front.jpeg
13239,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13239/fantastic four 41/front.jpeg
8708,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/8708/Fantastic Four Annual 4/front.jpeg
13264,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13264/Fantastic Four 58/front.jpeg
6867,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6867/Spider-Man 49/front.jpeg
13252,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13252/Fantastic Four 47/front.jpeg
6860,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6860/Spider-Man 44/front.jpeg
13299,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13299/Fantastic Four 9/front.jpeg
13216,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13216/fantastic four 39/front.jpeg
6671,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6671/Spider-Man 27/front.jpeg
6682,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6682/Spider-Man 28/front.jpeg
6649,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6649/Spider-Man 25/front.jpeg
13227,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13227/fantastic four 4/front.jpeg
